Code,Long Name,Income Group,Region
AFG,Islamic State of Afghanistan,Low income,Middle East & North Africa
ALB,Republic of Albania,Upper middle income,Europe & Central Asia
DZA,People's Democratic Republic of Algeria,Upper middle income,Middle East & North Africa
AGO,People's Republic of Angola,Lower middle income,Sub-Saharan Africa
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia
BGD,People's Republic of Bangladesh,Lower middle income,South Asia
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia
BLZ,Belize,Upper middle income,Latin America & Caribbean
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa
BTN,Kingdom of Bhutan,Lower middle income,South Asia
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean
BFA,Burkina Faso,Low income,Sub-Saharan Africa
BDI,Republic of Burundi,Low income,Sub-Saharan Africa
CPV,Republic of Cabo Verde,Upper middle income,Sub-Saharan Africa
KHM,Kingdom of Cambodia,Lower middle income,East Asia & Pacific
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa
CAF,Central African Republic,Low income,Sub-Saharan Africa
TCD,Republic of Chad,Low income,Sub-Saharan Africa
CHN,People's Republic of China,Upper middle income,East Asia & Pacific
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean
COM,Union of the Comoros,Lower middle income,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa
DMA,Commonwealth of Dominica,Upper middle income,Latin America & Caribbean
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa
SLV,Republic of El Salvador,Upper middle income,Latin America & Caribbean
GNQ,Republic of Equatorial Guinea,Upper middle income,Sub-Saharan Africa
ERI,State of Eritrea,Low income,Sub-Saharan Africa
SWZ,Kingdom of Eswatini,Lower middle income,Sub-Saharan Africa
ETH,Federal Democratic Republic of Ethiopia,unknown,Sub-Saharan Africa
FJI,Republic of Fiji,Upper middle income,East Asia & Pacific
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa
GMB,Republic of The Gambia,Low income,Sub-Saharan Africa
GEO,Georgia,Upper middle income,Europe & Central Asia
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa
GRD,Grenada,Upper middle income,Latin America & Caribbean
GTM,Republic of Guatemala,Upper middle income,Latin America & Caribbean
GIN,Republic of Guinea,Lower middle income,Sub-Saharan Africa
GNB,Republic of Guinea-Bissau,Low income,Sub-Saharan Africa
GUY,Co-operative Republic of Guyana,High income,Latin America & Caribbean
HTI,Republic of Haiti,Lower middle income,Latin America & Caribbean
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean
